Year,Waste Type,"Recycling
Rate"
2016,Food,0.14
2016,Paper/Cardboard,0.51
2016,Plastics,0.07
2016,C&D,0.99
2016,Horticultural waste,0.65
2016,Wood,
2016,Ferrous metal,0.99
2016,Non-ferrous metal,0.99
2016,Used slag,0.98
2016,Ash & Sludge,0.13
2016,Glass,0.20
2016,Textile/Leather,0.07
2016,Scrap tyres,0.91
2016,"Others (stones, ceramics & rubber etc.)",0.02
2015,Food,0.13
2015,Paper/Cardboard,
2015,Plastics,0.07
2015,C&D,0.99
2015,Horticultural waste,0.66
2015,Wood,0.79
2015,Ferrous metal,0.99
2015,Non-ferrous metal,0.89
2015,Used slag,0.99
2015,Ash & Sludge,0.13
2015,Glass,0.19
2015,Textile/Leather,0.08
2015,Scrap tyres,0.92
2015,"Others (stones, ceramics & rubber etc)",0.02
2014,Food,0.13
2014,Paper/Cardboard,0.52
2014,Plastics,0.09
2014,C&D,0.99
2014,Horticultural waste,0.59
2014,Wood,0.80
2014,Ferrous metal,0.96
2014,Non-ferrous metal,0.80
2014,Used slag,0.99
2014,Ash & Sludge,0.15
2014,Glass,0.20
2014,Textile/Leather,0.11
2014,Scrap tyres,0.88
2014,"Others (stones, ceramics & rubber etc)",0.01
2013,Food waste,0.13
2013,Paper/Cardboard,0.54
2013,Plastics,0.11
2013,Construction Debris,0.99
2013,Wood/Timber,
2013,Horticultural Waste,0.48
2013,Ferrous Metal,0.97
2013,Non-ferrous Metals,0.84
2013,Used Slag,0.97
2013,Sludge,0.07
2013,Glass,0.20
2013,Textile/Leather,0.10
2013,Scrap Tyres,
2013,"Others (stones, ceramics & rubber etc)",0.01
2012,Food waste,0.12
2012,Paper/Cardboard,0.56
2012,Plastics,0.10
2012,Construction Debris,0.99
2012,Wood/Timber,0.69
2012,Horticultural Waste,0.44
2012,Ferrous Metal,0.96
2012,Non-ferrous Metals,0.79
2012,Used Slag,0.97
2012,Sludge,0.00
2012,Glass,0.26
2012,Textile/Leather,0.11
2012,Scrap Tyres,0.88
2012,"Others (stones, ceramics & rubber etc)",0.01
2011,Food waste,0.10
2011,Paper/Cardboard,0.56
2011,Plastics,0.11
2011,Construction Debris,0.99
2011,Wood/Timber,0.64
2011,Horticultural Waste,0.37
2011,Ferrous Metal,
2011,Non-ferrous Metals,0.88
2011,Used Slag,0.98
2011,Sludge,0.00
2011,Glass,0.29
2011,Textile/Leather,0.13
2011,Scrap Tyres,0.83
2011,"Others (stones, ceramics & rubber etc)",0.01
2010,Food waste,0.16
2010,Paper/Cardboard,0.53
2010,Plastics,0.11
2010,Construction Debris,0.99
2010,Wood/Timber,0.70
2010,Horticultural Waste,0.40
2010,Ferrous Metal,0.94
2010,Non-ferrous Metals,0.85
2010,Used Slag,0.99
2010,Sludge,0.00
2010,Glass,0.24
2010,Textile/Leather,0.12
2010,Scrap Tyres,0.83
2010,"Others (stones, ceramics & rubber etc)",
