Total waste generated,Year,Waste Type,Waste disposed,"Total waste recycled
"
791000,2016,Food,679900,111100
1183100,2016,Paper/Cardboard,576000,607100
822200,2016,Plastics,762700,59500
1595400,2016,C&D,9700,1585700
320500,2016,Horticultural waste,111500,209000
530700,2016,Wood,119100,411600
1357500,2016,Ferrous metal,6000,1351500
97200,2016,Non-ferrous metal,1300,95900
251100,2016,Used slag,4100,247000
227300,2016,Ash & Sludge,199000,28300
72300,2016,Glass,57600,14700
150700,2016,Textile/Leather,139800,10900
32700,2016,Scrap tyres,3000,29700
382500,2016,"Others (stones, ceramics & rubber etc.)",375500,7000
785500,2015,Food,681400,104100
1192200,2015,Paper/Cardboard,588500,603700
824600,2015,Plastics,766800,57800
1411800,2015,C&D,8900,1402900
362000,2015,Horticultural waste,124800,237200
370600,2015,Wood,76900,293700
1348500,2015,Ferrous metal,15200,1333300
180000,2015,Non-ferrous metal,19600,160400
369900,2015,Used slag,4100,365800
196000,2015,Ash & Sludge,170800,25200
75200,2015,Glass,60600,14600
156700,2015,Textile/Leather,144200,12500
35500,2015,Scrap tyres,2700,32800
365000,2015,"Others (stones, ceramics & rubber etc)",359300,5700
788600,2014,Food,687200,101400
1237400,2014,Paper/Cardboard,590800,646500
869000,2014,Plastics,789000,80000
1269700,2014,C&D,9700,1260000
278300,2014,Horticultural waste,115300,163000
367900,2014,Wood,74500,293400
1445900,2014,Ferrous metal,57000,1388900
118400,2014,Non-ferrous metal,23700,94700
366300,2014,Used slag,5100,361200
148500,2014,Ash & Sludge,126800,21700
79500,2014,Glass,63800,15700
158600,2014,Textile/Leather,141800,16800
26200,2014,Scrap tyres,3100,23100
360100,2014,"Others (stones, ceramics & rubber etc)",355600,4700
796000,2013,Food waste,696000,100000
1261100,2013,Paper/Cardboard,581700,679400
832200,2013,Plastics,741100,91100
1695300,2013,Construction Debris,12300,1683000
332400,2013,Wood/Timber,77800,254600
252600,2013,Horticultural Waste,131700,120900
1416000,2013,Ferrous Metal,46800,1369200
135100,2013,Non-ferrous Metals,21100,114000
353700,2013,Used Slag,8900,344800
190600,2013,Sludge,176400,14200
73500,2013,Glass,58900,14600
156600,2013,Textile/Leather,140300,16300
21600,2013,Scrap Tyres,2600,19000
334800,2013,"Others (stones, ceramics & rubber etc)",330000,4800
703200,2012,Food waste,618100,85100
1252000,2012,Paper/Cardboard,555300,696700
803400,2012,Plastics,721300,82100
1291800,2012,Construction Debris,9100,1282700
343800,2012,Wood/Timber,107800,236000
247800,2012,Horticultural Waste,139800,108000
1386000,2012,Ferrous Metal,54800,1331200
122500,2012,Non-ferrous Metals,25200,97300
367800,2012,Used Slag,9800,358000
160200,2012,Sludge,160200,0
74900,2012,Glass,55400,19500
159300,2012,Textile/Leather,141000,18300
18400,2012,Scrap Tyres,2300,16100
338400,2012,"Others (stones, ceramics & rubber etc)",333800,4600
675500,2011,Food waste,605800,69700
1368200,2011,Paper/Cardboard,603200,765000
733000,2011,Plastics,656000,77000
1203700,2011,Construction Debris,12600,1191100
273900,2011,Wood/Timber,97400,176500
238800,2011,Horticultural Waste,149800,89000
1239200,2011,Ferrous Metal,67600,1171600
